2015-11-21 21:02:30,192 : MainThread : INFO : running /Users/dmitryselivanov/projects/word_embeddings/run_word2vec.py /Users/dmitryselivanov/Downloads/datasets/title_tokens.txt.gz /Users/dmitryselivanov/Downloads/datasets/questions-words.txt ./enwiki_dim=600_vocab=30k
2015-11-21 21:02:30,192 : MainThread : INFO : output file template will be ./enwiki_dim=600_vocab=30k/PREFIX
2015-11-21 21:02:30,192 : MainThread : INFO : dictionary found, loading
2015-11-21 21:02:30,247 : MainThread : INFO : word2vec model not found, creating
2015-11-21 21:02:30,247 : MainThread : INFO : collecting all words and their counts
2015-11-21 21:07:11,807 : MainThread : INFO : PROGRESS: at sentence #700000, processed 411227142 words, keeping 29664 word types
2015-11-21 21:07:14,442 : MainThread : INFO : PROGRESS: at sentence #710000, processed 414997311 words, keeping 29664 word types
2015-11-21 21:07:16,988 : MainThread : INFO : PROGRESS: at sentence #720000, processed 418669098 words, keeping 29664 word types
2015-11-21 21:07:19,486 : MainThread : INFO : PROGRESS: at sentence #730000, processed 422290807 words, keeping 29664 word types
2015-11-21 21:07:22,054 : MainThread : INFO : PROGRESS: at sentence #740000, processed 426007202 words, keeping 29664 word types
2015-11-21 21:07:24,675 : MainThread : INFO : PROGRESS: at sentence #750000, processed 429802869 words, keeping 29664 word types
2015-11-21 21:07:27,291 : MainThread : INFO : PROGRESS: at sentence #760000, processed 433636618 words, keeping 29664 word types
2015-11-21 21:07:29,771 : MainThread : INFO : PROGRESS: at sentence #770000, processed 437231204 words, keeping 29664 word types
2015-11-21 21:07:32,394 : MainThread : INFO : PROGRESS: at sentence #780000, processed 441019783 words, keeping 29664 word types
2015-11-21 21:07:34,840 : MainThread : INFO : PROGRESS: at sentence #790000, processed 444564011 words, keeping 29664 word types
2015-11-21 21:07:37,271 : MainThread : INFO : PROGRESS: at sentence #800000, processed 448050442 words, keeping 29664 word types
2015-11-21 21:07:39,807 : MainThread : INFO : PROGRESS: at sentence #810000, processed 451684750 words, keeping 29664 word types
2015-11-21 21:07:42,357 : MainThread : INFO : PROGRESS: at sentence #820000, processed 455409699 words, keeping 29664 word types
2015-11-21 21:07:44,767 : MainThread : INFO : PROGRESS: at sentence #830000, processed 458862430 words, keeping 29664 word types
2015-11-21 21:07:47,225 : MainThread : INFO : PROGRESS: at sentence #840000, processed 462426243 words, keeping 29664 word types
2015-11-21 21:07:49,640 : MainThread : INFO : PROGRESS: at sentence #850000, processed 465903617 words, keeping 29664 word types
2015-11-21 21:07:52,067 : MainThread : INFO : PROGRESS: at sentence #860000, processed 469403046 words, keeping 29664 word types
2015-11-21 21:07:54,468 : MainThread : INFO : PROGRESS: at sentence #870000, processed 472870334 words, keeping 29664 word types
2015-11-21 21:07:56,888 : MainThread : INFO : PROGRESS: at sentence #880000, processed 476366166 words, keeping 29664 word types
2015-11-21 21:07:59,266 : MainThread : INFO : PROGRESS: at sentence #890000, processed 479803685 words, keeping 29664 word types
